Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
,,,,https://github.com/rayabhik83/StreamFSM,Algorithm details with data,GitHub,Table under Tools section,working,Y,Y,code,,
,,,,https://github.com/nkahmed/pgd,Algorithm details with data,,Table under Tools section,working,,,code,,
,,,,http://fascia-psu.sourceforge.net/,Algorithm details with data,,Table under Tools section,not working,,,project,,
,,,,https://doi.org/10.1038/43601,DOI related paper,,References,working,,,paper,,50
,,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/9780470073049.ch7,Online libraray,,,working,,,paper,,
5,LinearFold: linear-time approximate RNA folding by 5’-to-3’ dynamic programming and beam search,https://arxiv.org/pdf/2001.04020.pdf,,https://github.com/LinearFold/LinearFold,Source code github,,Abstract,working,,Y,code,Y,
,,,,http://linearfold.org/,Project website,,Abstarct,working,,,paper,,
,,,,http://contra.stanford.edu/,Project website,,Experimentation,working,,,article,,
,,,,https://www.tbi.univie.ac.at/RNA/download/sourcecode/2_4_x/ViennaRNA-2.4.10.tar.gz,Project website,,Experimentation,working,,,article,,
,,,,http://rna.urmc.rochester.edu/pub/archiveII.tar.gz,Project website,,Experimentation,working,,,project,,
,,,,https://rnacentral.org/,Project website,,Results,not working,,,project,,
,,,,10.1093/bioinformatics/btz375,DOI of paper,,Results,working,,,paper,,
6,Robust cluster expansion of multicomponent systems using structured sparsity,https://arxiv.org/pdf/1910.08086.pdf,,https://www.nscc.sg/,natural supercomputing system,,References,working,,,article,,
7,Metrics for Graph Comparison: A Practitioner’s Guide,https://arxiv.org/pdf/1904.07414.pdf,,http://web.eecs.umich.edu/~dkoutra/,Project website,,Experimentation,working,,,code,,
,,,,https://github.com/natemonnig/Resistance-Perturbation-Distance,Source code github,,Experimentation,working,,,code,Y,
,,,,https://www.github.com/peterewills/netcomp,Source code github,,Experimentation,working,,,code,Y,
,,,,http://doi.acm.org/10.1145/2567948.2576939,,,Results,working,,,cpaper,,
,,,,https://www.github.com/peterewills/netcomp,Source code github,,Results,working,,,code,,
,,,,https://doi.org/10.1016/j.physrep.2012.03.001,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1016/j.dam.2017.10.007,DOI related paper,,References,working,,,paper,,20
,,,,https://books.google.com/books?id=Sh_vAAAAMAAJ,Online book,,References,working,,,paper,,
,,,,http://http//snap.stanford.edu/data/,Related paper,,References,not working,,,paper,,
,,,,http://fcon_1000.projects.nitrc.org/indi/abide/,Related paper,ABIDE,References,working,Y,,paper,,
,,,,https://www.europarl.europa.eu/sides/getDoc.do?type=CRE&reference=20031008&secondRef=TOC&language=EN,Related paper,,References,working,,,paper,,
,,,,http://www.sociopatterns.org/datasets/primary-school-temporal-network-data/,Related paper,,References,working,,,paper,,
8,The EntOptLayout Cytoscape plug-in for the efficient visualization of major protein complexes in protein-protein interaction and signalling networks,https://arxiv.org/ftp/arxiv/papers/1904/1904.03910.pdf,,https://doi.org/10.1093/bioinformatics/btz257,DOI paper,,Page header,,,,paper,,
,,,,http://apps.cytoscape.org/apps/entoptlayout,Project detail,,Abstract,,,,project,,
,,,,https://sourceforge.net/projects/entopt/,Project detail,,Abstract,,,,project,,
,,,,http://linkgroup.hu/,Project detail,,Acknowledgement,,,,project,,
,,,,http://apps.cytoscape.org/apps/entoptlayout;,Project detail,,Supplementary results,,,,project,,
,,,,http://yeastgenome.org/,Project detail,,Supplementary results,,,,project,,
,,,,http://www.rbvi.ucsf.edu/cytoscape/clusterMaker2/#mcl,experiment result,,Supplementary results,,,,project,,
,,,,http://www.rbvi.ucsf.edu/cytoscape/clusterMaker2/#mcl,Project detail,,Supplementary results,,,,project,,
,,,,http://etd.lib.metu.edu.tr/upload/12619592/index.pdf,DOI related paper,,Supplementary results,,,,paper,,
9,The Census and the Second Law: An Entropic Approach to Optimal Apportionment for the U.S. House of Representatives,https://arxiv.org/pdf/1712.09440.pdf,,https://www.maa.org/press/periodicals/convergence/apportioning-representatives-in-the-united-states-congress,Related project work,,References,working,,,paper,,
,,,,https://democracychronicles.org/?s=On+Proportional+Representation+and+Apportionment,Related project work,,References,working,,,paper,,
,,,,http://www.rangevoting.org/NewAppo.html,Related project work,,References,working,,,paper,,
,,,,https://www.maa.org/press/periodicals/convergence/apportioning-representatives-in-the-united-states-congress,Related project work,,References,working,,,paper,,
,,,,https://democracychronicles.org/?s=On+Proportional+Representation+and+Apportionment,Related project work,,References,working,,,paper,,
,,,,http://www.rangevoting.org/NewAppo.html,Related project work,,References,working,,,paper,,
10,Predicting the three-dimensional folding of cis-regulatory regions in mammalian genomes using bioinformatic data and polymer models,https://arxiv.org/pdf/1601.02822.pdf,,http://dx.doi.org/10.7488/ds/1306,DOI paper,Edinburgh DataShare,Availability of data,working,Y,,paper,Y,
,,,,http://lammps.sandia.gov/,Project website,,Experimentation,working,,,paper,,
,,,,http://dx.doi.org/10.1101/024620,DOI related paper,,References,working,,,paper,,
11,Shape Modeling with Spline Partitions,https://arxiv.org/pdf/2108.02507.pdf,,https://github.com/ShufeiGe/Shape-Modeling-with-Spline-Partitions,Source code github,,Abstract,working,,Y,code,Y,
,,,,https://doi.org/doi:10.7295/W9CIL41568,DOI related paper,,References,working,,,article,,
12,CellProfiler Analyst 3.0: Accessible data exploration and machine learning for image analysis.,https://arxiv.org/ftp/arxiv/papers/2108/2108.02060.pdf,,https://cellprofileranalyst.org/,Project created website,,Availability & implementation,working,,,article,,
,,,,https://github.com/CellProfiler/CellProfiler-Analyst/,,,Availability & implementation,working,,Y,code,Y,
,,,,https://cellprofileranalyst.org/examples,Project created website,,Availability & implementation,working,,,article,,
,,,,http://dx.doi.org/10.5281/zenodo.4972048,DOI related paper,,references,working,,,paper,,4
,,,,http://dx.doi.org/10.1145/331499.331504,,,references,working,,,paper,,
13,Graph Neural Networks With Lifting-based Adaptive Graph Wavelets,https://arxiv.org/pdf/2108.01660.pdf,,http://ieeexplore.ieee.org/,IEEE link,,Page footer,working,,,paper,,
,,,,https://arxiv.org/pdf/2108.01044.pdf,DOI related paper,,references,working,,,paper,,
,,,,https://arxiv.org/abs/1506.05163,DOI related paper,,references,working,,,paper,,
14,TargetNet: Functional microRNA Target Prediction with Deep Neural Networks,https://arxiv.org/pdf/2107.11381.pdf,,https://github.com/mswzeus/TargetNet,Source code and data,GitHub,,working,Y,Y,code,Y,
,,,,doi.10.1093/bioinformatics/xxxxxx,DOI related paper,,Page header,not working,,,paper,,
15,Graph Representation Learning on Tissue-Specific Multi-Omics,https://arxiv.org/pdf/2107.11856.pdf,,https://www.frontiersin.org/article/10.3389/fonc.2020.00423,Article link,,references,working,,,article,,
,,,,https://www.frontiersin.org/article/10.3389/fgene.2017.00084,Article link,,references,working,,,article,,
,,,,https://springernature.figshare.com/articles/Additional_file_1_of_A_computational_approach_to_identify_cellular_heterogeneity_and_tissue-specific_gene_regulatory_networks/6679493,Article link,,references,working,,,article,,
,,,,http://repository.bilkent.edu.tr/handle/11693/49202,Article link,,references,working,,,article,,
,,,,https://doi.org/10.1371/journal.pcbi.1004808,Article link,,references,working,,,article,,
,,,,https://www.biorxiv.org/,Article link,,references,working,,,article,,
,,,,http://arxiv.org/abs/1907.05628,DOI related paper,,references,working,,,paper,,
,,,,http://arxiv.org/abs/1707.04638,DOI related paper,,references,working,,,paper,,
16,Drug-Target Interaction Prediction with Graph Attention networks,https://arxiv.org/pdf/2107.06099.pdf,,https://github.com/Haiyang-W/DTI-GAT,Source code and data,GitHub,Abstract,working,Y,Y,code,Y,
,,,,http://web.kuicr.kyoto-u.ac.jp/supp/yoshi/drugtarget/,Dataset online,CLS supplemetary,Datasets,working,Y,Y,data,Y,
17,String Comparison on a Quantum Computer Using Hamming Distance,https://arxiv.org/pdf/2106.16173.pdf,,https://qiskit.org/documentation/apidoc/qiskit_aqua.html,Related task concept details,,references,working,,,organization,,
,,,,https://quantum-computing.ibm.com/lab/docs/iql/manage/systems/midcircuit-measurement/,Related task concept details,,references,working,,,organization,,
,,,,https://doi.org/10.20944/preprints201804.0164.v2,DOI related paper,,references,working,,,paper,,
,,,,https://www.sciencemag.org/news/2020/09/ibm-promises-1000-qubit-quantum-computer-milestone-2023,News,,references,working,,,article,,
,,,,https://github.com/miranska/qc-str,Related paper code,GitHub,references,working,Y,,code,,
,,,,https://doi.org/10.22331/q-2018-08-06-79,DOI related paper,,references,working,,,paper,,
,,,,https://www.forbes.com/sites/forbesbusinesscouncil/2020/07/14/the-present-and-future-of-quantum-computing-expansion/?sh=4815b6f943b9,Online website,,references,working,,,article,,
18,SnakeLines: integrated set of computational pipelines for sequencing reads,https://arxiv.org/ftp/arxiv/papers/2106/2106.13649.pdf,,https://github.com/jbudis/snakelines,Source code and data,GitHub,Background,working,Y,Y,code,Y,
,,,,https://anaconda.org/bioconda/snakelines,Project website,,Background,working,,,article,,
,,,,https://snakelines.readthedocs.io/,Project website,,Background,working,,,organization,,
,,,,https://www.bioinformatics.babraham.ac.uk/projects/fastqc/,Article link,,references,working,,,organization,,
,,,,http://dx.doi.org/10.1093/femsle/fnaa150,DOI related paper,,references,working,,,paper,,10
,,,,https://academic.oup.com/bioinformatics/article-abstract/34/18/3094/4994778,Academic website,,references,working,,,article,,
,,,,https://github.com/Illumina/hap.py,Related papaer github,GitHub,references,working,Y,,article,,
,,,,https://academic.oup.com/bioinformatics/article-abstract/32/22/3501/2525598,Academic website,,references,working,,,code,,
19,Dual-view Molecule Pre-training,https://arxiv.org/pdf/2106.10234.pdf,,https://pubchem.ncbi.nlm.nih.gov/,Concept details link,,Page footer,working,,,organization,,
,,,,https://github.com/rdkit/rdkit,Source code and data,,Page footer,working,,Y,code,Y,
,,,,https://github.com/deepchem/deepchem,Project code,GitHub,Experiments,working,Y,Y,code,Y,
,,,,https://github.com/Hanjun-Dai/GLN,Source code and data,GitHub,Experiments,working,Y,Y,code,Y,
,,,,https://openreview.net/forum?id=YicbFdNTTy,paper related,,References,working,,,article,,
,,,,https://proceedings.neurips.cc/paper/2020/file/f3ada80d5c4ee70142b17b8192b2958e-Paper.pdf,Proceeding link,,References,working,,,paper,,
,,,,https://openreview.net/forum?id=HJlWWJSFDH,paper related,,References,working,,,paper,,
,,,,https://doi.org/10.1021/acs.jmedchem.5b01746,DOI related paper,,References,working,,,paper,,
,,,,http://proceedings.mlr.press/v80/parmar18a.html,Proceeding link,,References,working,,,article,,
,,,,https://www.pnas.org/content/118/15/e2016239118,Article link,,References,working,,,article,,
,,,,https://ml4molecules.github.io/papers2020/ML4Molecules_2020_paper_4.pdf,paper related,,References,working,,,paper,,
,,,,https://openreview.net/forum?id=ipUPfYxWZvM,paper related,,References,working,,,paper,,
20,Fused inverse-normal method for integrated differential expression analysis of RNA-seq data,https://arxiv.org/ftp/arxiv/papers/2106/2106.06865.pdf,,https://portal.gdc.cancer.gov/,Cancer genome atlas,,Background,working,,,organization,,
,,,,https://www.ncbi.nlm.nih.gov/geo/,Gene expression omnibus website link,NIH NLM,Simulation study,working,Y,,data,,
,,,,https://www.ncbi.nlm.nih.gov/geo/,GEO website,NIH NLM,Data description,working,Y,,data,,
,,,,https://portal.gdc.cancer.gov/,TCGA website,NCI GDC,Data description,working,Y,,data,,
,,,,https://usegalaxy.eu/,FATSQ dataset link,Galaxy Europe,Data description,working,Y,,data,,
,,,,https://trace.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?study=SRP265074,Raw dataset download link,NIH NLM,Declarations,working,Y,,data,,
,,,,https://github.com/nash5202/FIN_meta_analysis/,Source code and data,GitHub,Simulation study,working,Y,Y,code,Y,
,,,,doi:10.1093/nar/gky379,DOI related paper,,References,working,,,paper,,
