First three from all the other sheets,,,,,file type,license,data,read.me
Database Systems,A Semi-Supervised Algorithm for Improving the Consistency of Crowdsourced Datasets: The COVID-19 Case Study on Respiratory Disorder Classification,https://arxiv.org/pdf/2209.04360.pdf,https://c4science.ch/diffusion/10770/,"link to c4science repo which contains ""Data access"" section in the description file. It also has a folder called ""sample_recordings"" which contains two wave files.  ",,,,
,,,https://scikit-learn.org/stable/,link to  website about scikit,,,,
,,,https://scikit-learn/stable/modules/generated/sklearn.model_selection.GroupShuffleSplit.html,another link to scikit-learn,,,,
,Pathology Synthesis of 3D Consistent Cardiac MR Images Using 2D VAEs and GANs,https://arxiv.org/ftp/arxiv/papers/2209/2209.04223.pdf,https://github.com/sinaamirrajab/CardiacPathologySynthesis,"no licence, some pictures are viewed in the read me file. There is a folder called ""data"" but it contains python files that seems to deal with data not the actual data.",,,,
,SOUND EVENT LOCALIZATION AND DETECTION FOR REAL SPATIAL SOUND SCENES: EVENT-INDEPENDENT NETWORK AND DATA AUGMENTATION CHAINS,https://arxiv.org/pdf/2209.01802.pdf,https://github.com/Jinbo-Hu/DCASE2022-TASK3,"no licence, In the read me file ""Description"" section contains links from which the data can be downloaded. There is also a folder ""images"" which contains two pictures.",,,,
,,,https://doi.org/10.5281/zenodo.6408611,database published at Zenodo,,,,
,,,https://doi.org/10.5281/zenodo.6406873,audio dataset at zenodo,,,,
,,,https://dcase.community/challenge2022,workshop link which include challenge,,,,
,,,https://github.com/danielkrause/DCASE2022-data-generator,"licence, the read me talks about data generator and describe two scripts as tools to generate samples",,,,
HMI,"The Utility of Explainable AI in Ad Hoc
Human-Machine Teaming",https://arxiv.org/pdf/2209.03943.pdf,https://doi.org/10.1007/978-1-4419-1005-9_1226,paper at springer,,,,
,,,https://proceedings.neurips.cc/paper/2003/file/,page not found,,,,
,,,https://proceedings.neurips.cc/paper/2018/,page not found,,,,
,,,https://doi. org/10.1002/9781118909997.ch16,not working,,,,
,,,https://github.com/CORE-Robotics-Lab/Utility-of-Explainable-AI-NeurIPS2021,"licence, read me does not mention data, ""minecraft_images"" folder contains three subfolders which  contains images and subforders which also contains images",,,,
,,,https://doi.org/10.1007/978-1-4419-1005-9_1226,"sprinker line as above, see first doi in this paper",,,,
,Semantic Interactive Learning for Text Classification: A Constructive Approach for Contextual Interactions,https://arxiv.org/pdf/2209.02984.pdf,https://github.com/sb1990gtr/Semantic-Interactive-ML,"no licence, no read me file, no folder at all, only a list of python scripts",,,,
,LaTTe: Language Trajectory TransformEr,https://arxiv.org/pdf/2208.02918.pdf,https://github.com/arthurfenderbucker/NL_trajectory_reshaper,"no licence, in read me file there is an instrction under ""setup"" section to download the dataset. there is docs folder which contains .yml, md and texl files in addition, it has a folder named ""media"" that contains images",,,,
,,,http://dx.doi.org/10.24963/ijcai.2018/3,Link to IJCAI conference,,,,
,,,https://doi.org/10.1177/0278364915581193,link to SAGE jounal on Robotics,,,,
,,,http://dx.doi.org/10.1109/CVPR.2018.00387,paper on IEEE ,,,,
,,,http://dx.doi.org/10.1109/CVPR42600.2020.01315,another paper on IEEE,,,,
,,,http://dx.doi.org/10.1109/CVPR.2019.00689,paper on IEEE ,,,,
Vision and Graphics,User-Controllable Latent Transformer for StyleGAN Image Layout Editing,https://arxiv.org/pdf/2208.12408.pdf,https://github.com/justinpinkney/awesome-pretrained-stylegan2,"no licence, ""read me"" contains listings of many pics from different image datasets LSUN-CAR, LSUN-CAT, LSUN-CHURCH ,FFHQ, LSUN-Horse, Image net, WikiArt, Danboru, Unkown, Frea Buckler artwork, Maps, Internet scraped cakes,  CIFAR 10, CIFAR 100, 100 images of Barack Obama, 100 images of Grumpy Cats, 100 images of pandas, ~55k SFW images from e621.net, ~104k SFW images from Derpibooru, MetFaces, 5000 faces aligned and detected from ukiyoe images, Biologia Centrali-Americana :zoology, botany and archaeology, Describable Textures Dataset (DTD), 14,305 abstract paintings, Oxford flowers 102 prepped with u^2net, 5k architectural elements from Barcelona,  Floor Plans (Instagram scrapped), Previous models made from the drawings from my blog,  There is also ""content"" folder which contains subfolders that contain images and mp4 files. The names of he subfolders matches in partial the names of the listed datasets but they only contains few images.",,,,
,,,https://github.com/lessw2020/Ranger-Deep-Learning-Optimizer,"licence, ""readme"" file does not mention dataset except that the model is customizable and one can use his own data to test it. There is no folder for the data.",,,,
,Generative Deformable Radiance Fields for Disentangled Image Synthesis of Topology-Varying Objects,https://arxiv.org/pdf/2209.04183.pdf,https://ziyuwang98.github.io/GDRF/,"link to project website hosted in github, the website shows some images on its page. There is also a link to github repo which contains ""images"" folder. This folder contains only one image",,,,
,Neural Feature Fusion Fields: 3D Distillation of Self-Supervised 2D Image Representations,https://arxiv.org/pdf/2209.03494.pdf,https://www.robots.ox.ac.uk/~vadim/n3f/,"link to website that contains abstract of page with some links. one of the links ""Code"" refere to github repo. That repo conains licence, read me and and configs folder. The read me has ""Dataset and Pretrained Models"" section which says that the model and dataset can be downloaded from google drive. The ""configs"" folder contains txt files which sames to describe dimenions of objects like chair, room, ship etc..",,,,
,,,https://github.com/yenchenlin/nerf-pytorch/,"licence, ""readme"" file contains two sections ""How To Run?
"" to download two samples for ""Quick Start"" and ""More datasets"" to download the data from google drive. In addition to ""configs"" folder there is ""imgs"" folder which contains one image. THIS LINK IS THE SAME AS THE REPO ABOVE WITH MORE DETAILED READ ME AND ""imgs"" folder.  ",,,,
